<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
META.US,60,20211230,160000,344,345.7,343.22,345.275,1227974,0
META.US,60,20211230,170000,345.29,346.57,344.75,344.75,1365663,0
META.US,60,20211230,180000,344.8,345.383,344.17,345.366,755072,0
META.US,60,20211230,190000,345.37,345.9,345.13,345.493,544627,0
META.US,60,20211230,200000,345.49,346.696,345.28,346.535,565582,0
META.US,60,20211230,210000,346.57,347.23,345.93,346.52,712378,0
META.US,60,20211230,220000,346.53,346.537,343.55,344.36,1880187,0
META.US,60,20211231,160000,343.015,343.44,340.525,341.5,1077190,0
META.US,60,20211231,170000,341.47,342.56,340.6,341.31,998407,0
META.US,60,20211231,180000,341.29,341.58,339.7,340.995,1002748,0
META.US,60,20211231,190000,340.99,341.03,339.62,340.77,679111,0
META.US,60,20211231,200000,340.8,341.03,339.64,339.76,619613,0
META.US,60,20211231,210000,339.8,340.18,339.07,339.25,747942,0
META.US,60,20211231,220000,339.29,340.03,336.27,336.35,3669819,0
META.US,60,20220103,160000,338.295,340.55,337.19,338.33,1823359,0
META.US,60,20220103,170000,338.16,341.082,337.665,339.665,1363897,0
META.US,60,20220103,180000,339.688,339.96,337.66,338.304,955027,0
META.US,60,20220103,190000,338.3,339.729,337.77,339.705,607907,0
META.US,60,20220103,200000,339.73,339.9,338.62,339.11,647780,0
META.US,60,20220103,210000,339.12,339.68,338.5,338.95,678884,0
META.US,60,20220103,220000,338.9,340.22,338.2,338.54,2784723,0
META.US,60,20220104,160000,339.95,343.085,337.89,342.34,1605296,0
META.US,60,20220104,170000,342.3,342.37,333.34,334.795,2064363,0
META.US,60,20220104,180000,334.75,335.884,331.871,333.94,1470703,0
META.US,60,20220104,190000,333.98,335.04,333.37,334.7,696136,0
META.US,60,20220104,200000,334.74,335.809,334.09,334.165,597306,0
META.US,60,20220104,210000,334.17,336.18,334.09,335.64,705919,0
META.US,60,20220104,220000,335.634,338.65,335.59,336.53,3001452,0
META.US,60,20220105,160000,333.02,335.61,332.032,334.735,1071816,0
META.US,60,20220105,170000,334.65,335.76,330.55,331.905,1391500,0
META.US,60,20220105,180000,331.97,334.57,331.54,332.05,1256487,0
META.US,60,20220105,190000,332.05,332.91,328.88,329.02,1223007,0
META.US,60,20220105,200000,329.01,330.58,328.41,330.08,959391,0
META.US,60,20220105,210000,330.125,331.99,326.5,326.7,1517021,0
META.US,60,20220105,220000,326.71,328.68,323.86,324.17,6310812,0
META.US,60,20220106,160000,322.8,331.115,322.72,328.16,2536611,0
META.US,60,20220106,170000,328.17,336.94,325.25,335.92,4994929,0
META.US,60,20220106,180000,336.02,339.165,335.85,338.66,2467140,0
META.US,60,20220106,190000,338.66,338.9,336.19,336.28,1389471,0
META.US,60,20220106,200000,336.3,336.82,333.52,335.05,1739349,0
META.US,60,20220106,210000,335.02,335.228,332.73,333.225,1360108,0
META.US,60,20220106,220000,333.19,334.99,331.54,332.46,3630660,0
META.US,60,20220107,160000,332.74,337,330.79,335.362,1796116,0
META.US,60,20220107,170000,335.39,335.575,328.88,329.84,1827497,0
META.US,60,20220107,180000,329.75,333.98,329.52,333.22,1199526,0
META.US,60,20220107,190000,333.3,333.716,332.2,333.38,808598,0
META.US,60,20220107,200000,333.4,334.67,332.68,332.9,825344,0
META.US,60,20220107,210000,332.93,333.86,332.06,333.42,1004801,0
META.US,60,20220107,220000,333.5,334.18,331.6,331.79,2768220,0
META.US,60,20220110,160000,325.31,326.19,319.55,321.32,2825183,0
META.US,60,20220110,170000,321.29,321.54,315.43,316.935,3339752,0
META.US,60,20220110,180000,316.826,321.69,316.21,321.592,1988924,0
META.US,60,20220110,190000,321.54,321.73,318.71,321.12,1359443,0
META.US,60,20220110,200000,321.106,324.9,320.39,324.47,1604761,0
META.US,60,20220110,210000,324.455,327.771,324.09,326.76,1528718,0
META.US,60,20220110,220000,326.75,328.34,325.08,328.07,1810390,0
META.US,60,20220111,160000,326.78,330.5,326.22,328.1,1394319,0
META.US,60,20220111,170000,328.14,329.86,325.28,326.92,1395363,0
META.US,60,20220111,180000,326.92,333.48,326.769,332.785,1700586,0
META.US,60,20220111,190000,332.83,333.48,330.435,332.12,1466258,0
META.US,60,20220111,200000,332.14,332.71,330.817,332.4,748338,0
META.US,60,20220111,210000,332.38,333.79,331.91,333.414,928386,0
META.US,60,20220111,220000,333.409,334.63,331.5,334.37,3647656,0
META.US,60,20220112,160000,335.18,336.365,332.22,334.18,1580623,0
META.US,60,20220112,170000,334.2,335.732,331.15,331.65,1655403,0
META.US,60,20220112,180000,331.65,333.18,330.03,332.26,1037797,0
META.US,60,20220112,190000,332.36,334.41,331.9,334.14,788876,0
META.US,60,20220112,200000,334.18,334.23,332.73,332.8,586400,0
META.US,60,20220112,210000,332.8,333.38,331.91,332.81,729450,0
META.US,60,20220112,220000,332.824,333.26,331.33,333.26,3469026,0
META.US,60,20220113,160000,334.98,335.63,332.91,334.57,1052863,0
META.US,60,20220113,170000,334.66,334.81,328.9,330.3,1575084,0
META.US,60,20220113,180000,330.24,332.02,329.65,331.66,760065,0
META.US,60,20220113,190000,331.66,331.66,327.38,328.4,1264798,0
META.US,60,20220113,200000,328.31,330.13,327.72,329.19,787077,0
META.US,60,20220113,210000,329.205,330.46,328.71,329.66,908099,0
META.US,60,20220113,220000,329.67,329.67,325.76,326.48,3049935,0
META.US,60,20220114,160000,321.79,330.525,321.21,330,1677386,0
META.US,60,20220114,170000,330.16,332.19,327.98,330.21,2301026,0
META.US,60,20220114,180000,330.2,331.94,328.43,330.4,1237272,0
META.US,60,20220114,190000,330.32,331.205,329.07,329.285,905620,0
META.US,60,20220114,200000,329.26,332.2,328.65,331.78,1090773,0
